PLAYER_NAME,TEAM_HIST,Season,MIN,PLAYER_FGM,PLAYER_FGA,PLAYER_FG3M,PLAYER_FTM,PLAYER_FTA,PLAYER_AST,PLAYER_TOV,PLAYER_OREB,PLAYER_DREB,PLAYER_STL,PLAYER_BLK,PLAYER_PF,TEAM_FGM,TEAM_AST,TEAM_FGA,TEAM_FTM,TEAM_FTA,TEAM_PTS,TEAM_OREB,TEAM_TOV,TEAM_PF,TEAM_DREB%,TEAM_PACE,PLAYER_RAW_PER,PLAYER_PACE_CORRECTED_PER,Min * cPER,PLAYER_PER
Aaron Gordon,2020-21 DEN,2020-21,1383.78,231,499,59,97,149,161,97,77,207,33,34,89,3114,1933,6422,1129,1406,8284,758,972.0,1374,0.751,99.3,0.31830441346030675,0.32510003638614615,449.8669283504213,14.525478651777485
Aaron Gordon,2021-22 DEN,2021-22,2375.4183333333335,434,834,87,171,230,188,133,125,314,44,44,148,3416,2279,7079,1372,1725,9243,752,1189.0,1639,0.752,99.9,0.3364151052683321,0.33869379283488105,804.5394448861784,15.201557384745234
Aaron Gordon,2019-20 ORL,2019-20,2017.1433333333334,335,767,73,151,224,228,100,107,368,51,39,125,2871,1747,6468,1282,1656,7831,751,937.0,1336,0.749,100.9,0.3295828920000935,0.33539713925242415,676.5441034620991,15.232286686929683
Aaron Henry,2021-22 PHI,2021-22,16.983333333333334,1,5,0,0,0,0,2,0,1,0,2,2,3230,1945,6932,1605,1955,9015,700,1027.0,1590,0.724,98.4,-0.1465669931443514,-0.1498091424168196,-2.544258602045653,-6.723867763112485
Aaron Holiday,2019-20 IND,2019-20,1617.3316666666667,233,563,87,74,87,225,88,22,134,55,16,120,3075,1888,6457,1096,1393,7989,636,967.0,1445,0.718,101.3,0.25395222443442145,0.25741179076926357,416.32024058450435,11.690529628049125
Aaron Holiday,2020-21 IND,2020-21,1176.0866666666666,170,436,67,68,83,123,66,15,74,46,13,94,3115,1973,6567,1183,1493,8302,648,975.0,1453,0.701,104.0,0.2163177930730071,0.21095144782177289,248.0971850972161,9.425316545511437
Aaron Holiday,2021-22 PHX,2021-22,1020.75,151,338,39,59,68,153,67,24,98,42,9,92,3581,2244,7389,1303,1635,9416,801,1060.0,1633,0.728,102.0,0.2792342018391068,0.27533769843435846,281.0509556768714,12.357952556202028
Aaron Nesmith,2020-21 BOS,2020-21,668.7316666666667,78,178,40,22,28,23,23,28,99,15,9,87,2985,1689,6401,1160,1496,8109,765,1012.0,1471,0.737,100.7,0.2126308079626323,0.21415110768192816,143.20962715864863,9.568277436898207
Aaron Nesmith,2021-22 BOS,2021-22,573.8783333333333,72,182,31,21,26,22,31,15,74,20,5,70,3341,2036,7167,1397,1713,9164,863,1118.0,1521,0.725,99.0,0.16729419314081767,0.16995850806861587,97.53550534623716,7.6282295928886885
Aaron Wiggins,2021-22 OKC,2021-22,1208.75,156,337,42,62,85,68,54,51,127,30,10,93,3141,1822,7310,1233,1632,8506,854,1145.0,1497,0.727,100.8,0.2297995279938401,0.22929038221422413,277.1547495014434,10.291215772882412
Abdel Nader,2019-20 OKC,2019-20,866.9516666666667,123,263,48,51,66,38,43,14,86,23,20,78,2879,1562,6156,1422,1787,7950,593,986.0,1390,0.728,101.1,0.24594583602033154,0.2497894999264851,216.5554232770995,11.344358162224612
Abdel Nader,2020-21 PHX,2020-21,355.25,57,116,18,28,37,19,19,7,55,10,9,34,3118,1939,6357,1124,1347,8300,630,902.0,1374,0.741,99.3,0.2945529285237744,0.30084147040162335,106.8739323601767,13.441605250076636
Abdel Nader,2021-22 PHX,2021-22,145.23833333333334,12,35,4,6,10,7,11,4,23,8,4,20,3581,2244,7389,1303,1635,9416,801,1060.0,1633,0.728,102.0,0.11760298130929867,0.11596192009952512,16.842116005388196,5.20470649338876
Adam Mokoka,2019-20 CHI,2019-20,111.66666666666667,12,28,6,2,4,4,2,7,3,4,0,17,2573,1510,5762,1006,1332,6945,680,1005.0,1417,0.719,101.9,0.17658632585497544,0.1779380170636789,19.86974523877748,8.081174736490103
Adam Mokoka,2020-21 CHI,2020-21,56.178333333333335,7,19,1,0,1,5,5,1,4,2,1,5,3035,1927,6380,995,1258,7969,693,1089.0,1362,0.767,101.1,0.0596918347000478,0.05988077027971165,3.364001873030401,2.675474478621156
Ade Murkey,2021-22 SAC,2021-22,1.4666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,3321,1943,7223,1466,1908,9045,784,1156.0,1552,0.714,102.1,0.0,0.0,0.0,0.0
Admiral Schofield,2021-22 ORL,2021-22,468.8233333333333,54,129,26,12,15,25,21,17,72,4,5,58,3139,1947,7240,1270,1614,8547,746,1188.0,1612,0.735,101.5,0.1750664733194646,0.17347391459665698,81.32861888758671,7.7860112091959515
